id,species,tag,genotype,treatment,fate,transmission
Transmission-001,Mcav,blue_half,BH,control,healthy,
Transmission-002,Mcav,blue_whole,BW,control,healthy,
Transmission-003,Mcav,cyan_half,CH,control,healthy,
Transmission-004,Mcav,cyan_whole,CW,control,healthy,
Transmission-005,Mcav,purple_half,PH,control,healthy,
Transmission-006,Mcav,purple_whole,PW,control,healthy,
Transmission-007,Mcav,red_half,RH,control,healthy,
Transmission-008,Mcav,red_whole,RW,control,healthy,
Transmission-009,Mcav,white_half,WH,control,healthy,
Transmission-010,Mcav,white_whole,WW,control,healthy,
Transmission-011,Mcav,yellow_half,YH,control,healthy,
Transmission-012,Mcav,yellow_whole,YW,control,healthy,
Transmission-013,Mcav,black_zip,BL,control,healthy,
Transmission-014,Mcav,blue_zip,BZ,control,healthy,
Transmission-015,Mcav,cyan_zip,CZ,control,healthy,
Transmission-016,Mcav,green_zip,GZ,control,healthy,
Transmission-017,Mcav,lime_zip,LZ,control,healthy,
Transmission-018,Mcav,pink_zip,PZ,control,healthy,
Transmission-019,Mcav,red_zip,RZ,control,healthy,
Transmission-020,Mcav,yellow_zip,YZ,control,healthy,
Transmission-021,Mcav,blue_half,BH,sctld,diseased,2.927083333
Transmission-022,Mcav,blue_whole,BW,sctld,diseased,7
Transmission-023,Mcav,cyan_half,CH,sctld,nai,
Transmission-024,Mcav,cyan_whole,CW,sctld,nai,
Transmission-025,Mcav,purple_half,PH,sctld,diseased,12.99305556
Transmission-026,Mcav,purple_whole,PW,sctld,nai,
Transmission-027,Mcav,red_half,RH,sctld,diseased,2.927083333
Transmission-028,Mcav,red_whole,RW,sctld,nai,
Transmission-029,Mcav,white_half,WH,sctld,diseased,8
Transmission-030,Mcav,white_whole,WW,sctld,diseased,1.927083333
Transmission-031,Mcav,yellow_half,YH,sctld,diseased,4.96875
Transmission-032,Mcav,yellow_whole,YW,sctld,diseased,8
Transmission-033,Mcav,black_zip,BL,sctld,nai,
Transmission-034,Mcav,blue_zip,BZ,sctld,nai,
Transmission-035,Mcav,cyan_zip,CZ,sctld,diseased,4.96875
Transmission-036,Mcav,green_zip,GZ,sctld,diseased,2.927083333
Transmission-037,Mcav,lime_zip,LZ,sctld,nai,
Transmission-038,Mcav,pink_zip,PZ,sctld,nai,
Transmission-039,Mcav,red_zip,RZ,sctld,diseased,2.927083333
Transmission-040,Mcav,yellow_zip,YZ,sctld,nai,
Transmission-081,Mcav,parent,Parent,parent,diseased,
